Mes;Union Europea;Canada;Estados Unidos;Mexico;Bolivia;Ecuador;Peru;Argentina;Brasil;Paraguay;Uruguay;Venezuela;China;Japon;India;Panama;Resto de paises;Total Exportaciones;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov-08; 129.529 ; 9.406 ; 665.629 ; 34.333 ; 4.400 ; 123.214 ; 63.701 ; 4.659 ; 31.120 ; 473 ; 351 ; 670.259 ; 69.561 ; 14.746 ; 658 ; 23.310 ; 400.028 ; 2.245.379 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dic-08; 226.297 ; 10.495 ; 721.062 ; 36.115 ; 9.545 ; 142.954 ; 57.256 ; 5.840 ; 27.036 ; 437 ; 5.826 ; 648.237 ; 2.906 ; 29.297 ; 272 ; 26.494 ; 274.202 ; 2.224.271 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ene-09; 566.622 ; 46.615 ; 712.365 ; 50.832 ; 6.325 ; 105.020 ; 78.241 ; 6.273 ; 45.586 ; 325 ; 840 ; 416.127 ; 25.284 ; 29.272 ; 1.388 ; 24.417 ; 410.167 ; 2.525.698 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
feb-09; 264.029 ; 36.067 ; 811.059 ; 33.919 ; 6.920 ; 96.003 ; 72.637 ; 4.865 ; 41.015 ; 779 ; 523 ; 488.809 ; 41.957 ; 33.578 ; 1.231 ; 26.428 ; 380.297 ; 2.340.118 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar-09; 490.833 ; 19.625 ; 893.356 ; 54.669 ; 7.045 ; 108.756 ; 57.943 ; 7.399 ; 56.669 ; 348 ; 902 ; 492.472 ; 36.776 ; 30.376 ; 1.846 ; 28.014 ; 424.301 ; 2.711.332 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr-09; 333.446 ; 47.197 ; 781.276 ; 35.189 ; 9.663 ; 96.163 ; 64.162 ; 7.328 ; 30.370 ; 434 ; 969 ; 415.042 ; 128.978 ; 36.302 ; 4.986 ; 27.442 ; 408.623 ; 2.427.571 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
may-09; 406.654 ; 29.668 ; 1.059.509 ; 43.122 ; 5.023 ; 98.951 ; 54.064 ; 9.168 ; 21.673 ; 662 ; 559 ; 464.183 ; 22.505 ; 17.261 ; 54.159 ; 25.279 ; 430.079 ; 2.742.519 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun-09; 377.492 ; 31.786 ; 1.181.298 ; 38.584 ; 6.228 ; 94.771 ; 51.396 ; 8.578 ; 29.340 ; 379 ; 951 ; 409.098 ; 53.682 ; 28.750 ; 5.915 ; 24.827 ; 395.009 ; 2.738.083 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul-09; 432.451 ; 25.299 ; 1.147.125 ; 41.684 ; 5.733 ; 97.200 ; 62.262 ; 11.676 ; 40.134 ; 889 ; 867 ; 344.828 ; 107.625 ; 26.464 ; 76.049 ; 26.274 ; 452.043 ; 2.898.600 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago-09; 234.564 ; 30.379 ; 1.184.043 ; 44.180 ; 7.040 ; 82.958 ; 53.500 ; 8.693 ; 49.630 ; 434 ; 516 ; 252.843 ; 75.093 ; 23.228 ; 68.537 ; 23.918 ; 533.914 ; 2.673.470 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
