Mes;Union Europea;Canada;Estados Unidos;Mexico;Bolivia;Ecuador;Peru;Argentina;Brasil;Paraguay;Uruguay;Venezuela;China;Japon;India;Panama;Resto de paises;Total Exportaciones
may-12;816988;75243;1720312;68073;10607;173125;135769;14362;128422;1142;1830;277200;632827;31998;4418;135477;1175582;5403375
jun-12;818298;22376;1879053;46020;7389;159904;85300;19166;95921;1058;1520;248826;114894;30129;12976;187500;833102;4563431
jul-12;747726;72562;1672889;92237;11314;160886;136433;27352;108668;771;788;217707;87006;28241;303557;426906;881863;4976905
ago-12;609099;32449;1795676;69720;9498;159746;99592;26206;122396;1520;1467;259593;165735;44659;37043;252066;884315;4570780
sep-12;678939;23821;1657153;89289;10855;156981;143978;38160;59719;1339;1031;221772;168519;24585;117100;224051;1293109;4910403
oct-12;838386;37037;1758111;82747;13655;163302;163509;21036;114061;1351;1949;234248;259252;37139;202471;412183;1092493;5432930
nov-12;710657;39193;1621244;71484;13720;171062;128099;45628;101743;1375;1287;218944;198166;18203;298533;312985;855013;4807338
dic-12;782513;33937;1658061;58331;14134;155105;175446;16448;92307;1208;6062;175507;464798;26032;216448;163109;912182;4951628
ene-13;910757;32204;1385432;43315;12925;136898;100492;31127;112886;1156;1320;155736;737891;33750;134513;338791;680004;4849196
feb-13;639170;17045;1734765;86894;9926;169033;86426;92903;101000;928;1636;180464;287893;27614;228383;347269;656418;4667767
mar-13;506743;14785;1874515;69319;11081;140076;133331;11955;83829;1721;1244;190646;368972;20867;210042;246149;732568;4617842
abr-13;534670;77090;1816648;65954;14135;190056;104781;38077;135741;1719;1584;196845;336772;40195;488454;141299;765464;4949487
may-13;819514;22767;1714565;95526;15134;205631;136140;77607;140201;1553;984;240279;424349;40147;21513;553658;822902;5332470
jun-13;791978;31234;1613855;79099;8089;158175;87699;36179;125539;836;1691;211274;233408;35061;218005;350475;888241;4870839
jul-13;857815;25046;1531947;59302;9418;179988;115591;21693;129338;1072;2414;111600;257830;28384;450060;169703;701097;4652297
